Year,DNSP,Tariff,Fixed ($/day),Capacity Charge ($/kVA/month),Demand Peak ($/kVA/month),Demand Peak months,Demand Off-Peak ($/kVA/month),Demand Off-Peak months,peak demand periods,peak volume ($/kWh),shoulder volume ($/kWh),volume-off peak ($/kWh),volume peak periods,volume shoulder periods,off peak volume periods,peak volume months,shoulder volume months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Endeavour Energy,ST STOU Demand,74.03,0,8.9936,"11,12,1,2,3",8.87315,"4,5,6,7,8,9,10","33,34,35,36,37,38,39,40",0.0148258,0.0142945,0.0130295,"33,34,35,36,37,38,39,40","33,34,35,36,37,38,39,40","41,42,43,44,45,46,47,48,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","11,12,1,2,3","4,5,6,7,8,9,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Endeavour Energy,ST STOU Demand,74.03,0,8.9936,"11,12,1,2,3",8.87315,"4,5,6,7,8,9,10","33,34,35,36,37,38,39,40",0.0148258,0.0142945,0.0130295,"33,34,35,36,37,38,39,40","33,34,35,36,37,38,39,40","41,42,43,44,45,46,47,48,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","11,12,1,2,3","4,5,6,7,8,9,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Endeavour Energy,ST STOU Demand,74.03,0,8.9936,"11,12,1,2,3",8.87315,"4,5,6,7,8,9,10","33,34,35,36,37,38,39,40",0.0148258,0.0142945,0.0130295,"33,34,35,36,37,38,39,40","33,34,35,36,37,38,39,40","41,42,43,44,45,46,47,48,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","11,12,1,2,3","4,5,6,7,8,9,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,Endeavour Energy,ST STOU Demand,74.03,0,8.9936,"11,12,1,2,3",8.87315,"4,5,6,7,8,9,10","33,34,35,36,37,38,39,40",0.0148258,0.0142945,0.0130295,"33,34,35,36,37,38,39,40","33,34,35,36,37,38,39,40","41,42,43,44,45,46,47,48,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","11,12,1,2,3","4,5,6,7,8,9,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Endeavour Energy,ST STOU Demand,74.03,0,8.9936,"11,12,1,2,3",8.87315,"4,5,6,7,8,9,10","33,34,35,36,37,38,39,40",0.0148258,0.0142945,0.0130295,"33,34,35,36,37,38,39,40","33,34,35,36,37,38,39,40","41,42,43,44,45,46,47,48,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","11,12,1,2,3","4,5,6,7,8,9,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,Endeavour Energy,ST STOU Demand,74.03,0,8.9936,"11,12,1,2,3",8.87315,"4,5,6,7,8,9,10","33,34,35,36,37,38,39,40",0.0148258,0.0142945,0.0130295,"33,34,35,36,37,38,39,40","33,34,35,36,37,38,39,40","41,42,43,44,45,46,47,48,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","11,12,1,2,3","4,5,6,7,8,9,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,Endeavour Energy,ST STOU Demand,74.03,0,8.9936,"11,12,1,2,3",8.87315,"4,5,6,7,8,9,10","33,34,35,36,37,38,39,40",0.0148258,0.0142945,0.0130295,"33,34,35,36,37,38,39,40","33,34,35,36,37,38,39,40","41,42,43,44,45,46,47,48,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","11,12,1,2,3","4,5,6,7,8,9,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,Endeavour Energy,ST STOU Demand,74.03,0,8.9936,"11,12,1,2,3",8.87315,"4,5,6,7,8,9,10","33,34,35,36,37,38,39,40",0.0148258,0.0142945,0.0130295,"33,34,35,36,37,38,39,40","33,34,35,36,37,38,39,40","41,42,43,44,45,46,47,48,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","11,12,1,2,3","4,5,6,7,8,9,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,Endeavour Energy,ST STOU Demand,74.03,0,8.9936,"11,12,1,2,3",8.87315,"4,5,6,7,8,9,10","33,34,35,36,37,38,39,40",0.0148258,0.0142945,0.0130295,"33,34,35,36,37,38,39,40","33,34,35,36,37,38,39,40","41,42,43,44,45,46,47,48,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","11,12,1,2,3","4,5,6,7,8,9,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,Endeavour Energy,ST STOU Demand,74.03,0,8.9936,"11,12,1,2,3",8.87315,"4,5,6,7,8,9,10","33,34,35,36,37,38,39,40",0.0148258,0.0142945,0.0130295,"33,34,35,36,37,38,39,40","33,34,35,36,37,38,39,40","41,42,43,44,45,46,47,48,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","11,12,1,2,3","4,5,6,7,8,9,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
